iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
543	0.3837536035	0.8988289471	0.779494382
544	0.3835083215	0.8988289471	0.779494382
545	0.3832196299	0.8988289471	0.779494382
546	0.3829444123	0.8988289471	0.779494382
547	0.3826537969	0.8988289471	0.779494382
548	0.3823688037	0.8988289471	0.779494382
549	0.3820890096	0.8994048734	0.7808988764
550	0.3818054656	0.8994048734	0.7808988764
551	0.3815172011	0.8994048734	0.7808988764
552	0.3812853557	0.8994048734	0.7808988764
553	0.3810900342	0.8994048734	0.7808988764
554	0.3807937751	0.8994048734	0.7808988764
555	0.3805284438	0.8994048734	0.7808988764
556	0.3802585879	0.8994048734	0.7808988764
557	0.3800214883	0.8994048734	0.7808988764
558	0.3797623339	0.8999807997	0.7823033708
559	0.3795295638	0.8994048734	0.7808988764
560	0.3792210508	0.8994048734	0.7808988764
561	0.378979633	0.8994048734	0.7808988764
562	0.3787316848	0.8999807997	0.7823033708
563	0.3784488639	0.8999807997	0.7823033708
564	0.3782051235	0.8999807997	0.7823033708
565	0.3779369876	0.8999807997	0.7823033708
566	0.377696083	0.8999807997	0.7823033708
567	0.3774372982	0.8999807997	0.7823033708
568	0.3771849115	0.8999807997	0.7823033708
569	0.3769625768	0.8999807997	0.7823033708
570	0.3767115434	0.8999807997	0.7823033708
571	0.3764325898	0.8999807997	0.7823033708
572	0.3761678593	0.8999807997	0.7823033708
573	0.3759060586	0.8999807997	0.7823033708
574	0.3756253017	0.8999807997	0.7823033708
575	0.3754002171	0.8999807997	0.7823033708
576	0.3751315832	0.8999807997	0.7823033708
577	0.3748891405	0.8999807997	0.7823033708
578	0.374645708	0.8999807997	0.7823033708
579	0.3744216925	0.8999807997	0.7823033708
580	0.3741774088	0.8999807997	0.7823033708
581	0.3739332466	0.8999807997	0.7823033708
582	0.3737013428	0.8999807997	0.7823033708
583	0.3734202329	0.8999807997	0.7823033708
584	0.3732051817	0.8999807997	0.7823033708
585	0.3729330806	0.8999807997	0.7823033708
586	0.3727015355	0.8999807997	0.7823033708
587	0.372437132	0.8999807997	0.7823033708
588	0.3721929536	0.8999807997	0.7823033708
589	0.3719622766	0.8999807997	0.7823033708
590	0.3717282291	0.8999807997	0.7823033708
591	0.3714672593	0.8999807997	0.7823033708
592	0.3712172129	0.8999807997	0.7823033708
593	0.371003329	0.8999807997	0.7823033708
594	0.3707345142	0.8999807997	0.7823033708
595	0.3705465095	0.8999807997	0.7823033708
596	0.3703293025	0.8999807997	0.7823033708
597	0.3700791933	0.8999807997	0.7823033708
598	0.3698650116	0.8999807997	0.7823033708
599	0.369588629	0.8999807997	0.7823033708
600	0.3693402114	0.8999807997	0.7823033708
601	0.3691211911	0.8999807997	0.7823033708
602	0.3688566836	0.8999807997	0.7823033708
603	0.3685895155	0.8999807997	0.7823033708
604	0.3683367902	0.8999807997	0.7823033708
605	0.3681163246	0.8999807997	0.7823033708
606	0.3678951089	0.8999807997	0.7823033708
607	0.3676554234	0.8999807997	0.7823033708
608	0.367392308	0.8999807997	0.7823033708
609	0.3671452744	0.8999807997	0.7823033708
610	0.366925619	0.8999807997	0.7823033708
611	0.366748402	0.8999807997	0.7823033708
612	0.3665207525	0.8999807997	0.7823033708
613	0.3662975026	0.8999807997	0.7823033708
614	0.36605824	0.8999807997	0.7823033708
615	0.3658412326	0.8999807997	0.7823033708
616	0.365641476	0.8999807997	0.7823033708
617	0.3654349268	0.8999807997	0.7823033708
618	0.3651686972	0.8999807997	0.7823033708
